日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year
2015-12-31,'603299,N井神,5.31,43.9024,1.0,1.0,5.2872820310076385,,,,,
2016-01-04,'603299,井神股份,5.84,9.9812,1.099812,1.099812,5.8150162250865725,,,,,
2016-01-05,'603299,井神股份,6.42,9.9315,1.099315,1.2090398287800002,6.392534561481046,,,,,
2016-01-06,'603299,井神股份,7.06,9.9688,1.099688,1.3295665912314207,7.029793546845968,,,,,
2016-01-07,'603299,井神股份,7.77,10.0567,1.100567,1.463277114611791,7.736758794471627,6.452277031778571,,,,
2016-01-08,'603299,井神股份,8.55,10.0386,1.100386,1.6101696510392105,8.513421062813457,7.097504838139736,,,,
2016-01-11,'603299,井神股份,9.41,10.0585,1.100585,1.7721285653889893,9.369743520416549,7.808450297205731,,,,
2016-01-12,'603299,井神股份,10.35,9.9894,1.099894,1.949153576299957,10.305724679645037,8.591088320838528,,,,
2016-01-13,'603299,井神股份,11.39,10.0483,1.100483,2.1450103751073057,11.341274812629813,9.453384573995297,,,,
2016-01-14,'603299,井神股份,12.53,10.0088,1.100088,2.3597001735310457,12.476400326076304,10.401312880316233,,,,
2016-01-15,'603299,井神股份,13.78,9.9761,1.099761,2.595106222542676,13.721058499006,11.44284036755474,,,,
2016-01-18,'603299,井神股份,15.16,10.0145,1.100145,2.854993135199212,15.095153902388956,12.587922443949221,,,,
2016-01-19,'603299,井神股份,16.68,10.0264,1.100264,3.141246166906826,16.60865441325808,13.84850839067183,,,,
2016-01-20,'603299,井神股份,18.35,10.012,1.10012,3.4557477331375375,18.271512893113478,15.234556006768566,,,,
2016-01-21,'603299,井神股份,19.19,4.5777,1.045777,3.6139414971173744,19.107927938821536,16.560861529317613,,,,
2016-01-22,'603299,井神股份,18.01,-6.149,0.93851,3.391720234459627,17.9329814498634,17.40324611948909,,,,
2016-01-25,'603299,井神股份,18.27,1.4436,1.014436,3.440683107764286,18.191861970073624,18.022587733026025,,,,
2016-01-26,'603299,井神股份,16.44,-10.0164,0.899836,3.096050524958184,16.369692307703172,17.974795311915045,,,,
2016-01-27,'603299,井神股份,14.81,-9.9148,0.900852,2.78908330750963,14.746670054779019,17.269826744248153,,,,
2016-01-28,'603299,井神股份,13.33,-9.9932,0.900068,2.5103646344235777,13.27300582286484,16.102842321056816,12.379323440617307,,,
2016-01-29,'603299,井神股份,14.66,9.9775,1.099775,2.76083626582319,14.59731997884118,15.435710026852371,12.844825338008985,,,
2016-02-01,'603299,井神股份,15.22,3.8199,1.038199,2.8662974503413703,15.154923004712936,14.828322233780233,13.311820676990303,,,
2016-02-02,'603299,井神股份,15.82,3.9422,1.039422,2.9792926284287278,15.75236037940473,14.704855848120545,13.779811967886484,,,
2016-02-03,'603299,井神股份,16.24,2.6549,1.026549,3.058389868420882,16.170569795117544,14.98963579618825,14.236850780300065,,,
2016-02-04,'603299,井神股份,17.86,9.9754,1.099754,3.363476491355338,17.783648814459696,15.89176439450722,14.739195281299468,,,
2016-02-05,'603299,井神股份,17.02,-4.7032,0.952968,3.205285465013914,16.947248243418027,16.36175004742259,15.160886640329696,,,
2016-02-15,'603299,井神股份,16.39,-3.7015,0.962985,3.0866418235264237,16.319945849687908,16.594754616417582,15.508396756793264,,,
2016-02-16,'603299,井神股份,16.89,3.0506,1.030506,3.1808029189949205,16.817802117778488,16.807842964092334,15.834000628699936,,,
2016-02-17,'603299,井神股份,18.58,10.0059,1.100059,3.499070878266633,18.500574579881285,17.27384392104508,16.19196561706251,,,
2016-02-18,'603299,井神股份,19.9,7.1044,1.071044,3.747658869742208,19.81492940033437,17.68010003822002,16.558892070775414,,,
