日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year,wm,wq,wh,wy,mq,mh,my,qh,qy,hy,wmq,wmqh,wmqhy,mqh,mqhy,qhy
2017-12-01,'300729,N乐歌,23.13,44.0224,1.0,1.0,22.784194248646354,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-04,'300729,乐歌股份,25.44,9.987,1.09987,1.09987,25.059651728258665,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-05,'300729,乐歌股份,27.98,9.9843,1.099843,1.2096843204099998,27.561682535763197,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-06,'300729,乐歌股份,30.78,10.0071,1.100071,1.330738640037749,30.31980766879955,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-07,'300729,乐歌股份,33.86,10.0065,1.100065,1.4638990020531264,33.35375922317798,27.815819080929153,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-08,'300729,乐歌股份,37.25,10.0118,1.100118,1.6104616423406812,36.69307088908411,30.597594409016704,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-11,'300729,乐歌股份,40.98,10.0134,1.100134,1.771723608434823,40.36729484949166,33.6591230332633,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-12,'300729,乐歌股份,36.88,-10.0049,0.899951,1.5944644331345272,36.32858736709487,35.41250399952964,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-13,'300729,乐歌股份,34.68,-5.9653,0.940347,1.4993498463047534,34.16147814488556,36.180838094746846,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-14,'300729,乐歌股份,35.23,1.5859,1.015859,1.5231280355173007,34.703245026785304,36.45073525546831,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-15,'300729,乐歌股份,33.09,-6.0744,0.939256,1.4306071461278378,32.59523111087826,35.63116729982714,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-18,'300729,乐歌股份,31.63,-4.4122,0.955878,1.3674858976263853,31.15706432380409,33.78912119468963,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-19,'300729,乐歌股份,31.59,-0.1265,0.998735,1.365756027965888,31.11765063743448,32.74693384875754,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-20,'300729,乐歌股份,30.33,-3.9886,0.960114,1.3112814830344406,29.876492024109766,31.889936624602388,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-21,'300729,乐歌股份,30.06,-0.8902,0.991098,1.299608455272468,29.610531492111143,30.871393917667554,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-22,'300729,乐歌股份,30.13,0.2329,1.002329,1.3026352433647976,29.67949441995627,30.288246579483154,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-25,'300729,乐歌股份,31.15,3.3853,1.033853,1.346733354258426,30.684234344555048,30.193680583633345,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-26,'300729,乐歌股份,32.05,2.8892,1.028892,1.3856431743296604,31.57076324323793,30.284303104794038,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,'300729,乐歌股份,33.09,3.2449,1.032449,1.4306059096934836,32.59520293971776,30.828045287915632,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,'300729,乐歌股份,35.05,5.9232,1.059232,1.515343558936448,34.52588200024312,31.811115389542028,31.737265910901755,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-29,'300729,乐歌股份,32.08,-8.4736,0.915264,1.386939407126409,31.60029686307052,32.19527587816488,32.178071041622964,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,'300729,乐歌股份,35.29,10.0062,1.100062,1.5257193380822918,34.76228576778308,33.01088616281048,32.66320274359918,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,'300729,乐歌股份,34.32,-2.7487,0.972513,1.4837818906364237,33.80677481888402,33.458088477939704,32.97545735775522,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,'300729,乐歌股份,34.15,-0.4953,0.995047,1.4764327189321016,33.63932986320609,33.66691386263737,33.14143346747555,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-05,'300729,乐歌股份,32.77,-4.041,0.9595899999999999,1.4167700727600552,32.279964543433934,33.21773037127553,33.087743733488345,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-08,'300729,乐歌股份,33.55,2.3802,1.023802,1.45049203403189,33.04829225949674,33.507329450560775,32.90550480200898,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,'300729,乐歌股份,34.3,2.2355,1.022355,1.4829177834526728,33.78708683295779,33.31228966359571,32.57649440118229,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-10,'300729,乐歌股份,32.72,-4.6064,0.953936,1.414608658675709,32.23071846508442,32.997078392835796,32.371600956081764,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-11,'300729,乐歌股份,32.61,-0.3362,0.996638,1.4098527443652413,32.12235878960482,32.69368417811554,32.26964498831773,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-12,'300729,乐歌股份,31.33,-3.9252,0.960748,1.354513204443417,30.861491962395245,32.4099896619078,32.07755733509823,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-15,'300729,乐歌股份,31.0,-1.0533,0.989467,1.3402461168610145,30.53642786755534,31.90761678351952,31.974617172932078,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-16,'300729,乐歌股份,31.93,3.0,1.03,1.380453500366845,31.452520703582,31.440703557644362,31.989389991920973,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17,'300729,乐歌股份,33.1,3.6643,1.036643,1.4310374579807872,32.60503541972335,31.515566948572143,32.06375923103541,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18,'300729,乐歌股份,32.25,-2.568,0.97432,1.3942884160598406,31.767738110144858,31.44464281268015,32.158321535337166,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,'300729,乐歌股份,33.3,3.2558,1.032558,1.439683658309917,32.802032127534964,31.832750845708098,32.317896567108356,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22,'300729,乐歌股份,31.28,-6.0661,0.939339,1.3523510079131793,30.812228056646564,31.88791088352634,32.37453324894287,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,'300729,乐歌股份,31.16,-0.3836,0.996164,1.3471633894468245,30.694032349821267,31.736213212774196,32.37502314920617,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,'300729,乐歌股份,31.67,1.6367,1.016367,1.3692124126419007,31.196401577290796,31.45448644428769,32.35630506590881,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25,'300729,乐歌股份,31.5,-0.5368,0.994632,1.361862480410839,31.028939293623896,31.306726680983495,32.27799188360412,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,'300729,乐歌股份,30.88,-1.9683,0.980317,1.3350569412089124,30.4181966815075,30.829959591778003,32.072607617667344,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-29,'300729,乐歌股份,31.12,0.7772,1.007772,1.3454330037559878,30.654606906116168,30.79843536167192,32.02532311981963,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,'300729,乐歌股份,31.12,0.0,1.0,1.3454330037559878,30.654606906116168,30.790550272930897,31.81993917673629,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-31,'300729,乐歌股份,28.62,-8.0334,0.919666,1.2373489888322542,28.191999714920232,30.189669900456785,31.5392004215381,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,'300729,乐歌股份,27.31,-4.5772,0.954228,1.1807130509154242,26.9015955039689,29.364201142525786,31.202313703576245,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,'300729,乐歌股份,26.82,-1.7942,0.982058,1.1595286973558996,26.418927077436688,28.56434722171162,30.90926183027638,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-05,'300729,乐歌股份,25.75,-3.9896,0.960104,1.1132681404461886,25.364917562755274,27.50640935303944,30.52509309543931,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-06,'300729,乐歌股份,23.18,-9.9806,0.9001939999999999,1.0021573004208162,22.83334660048692,25.942157291913595,29.977406083815765,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-07,'300729,乐歌股份,25.5,10.0086,1.100086,1.1024592159907338,25.11864492834325,25.3274863345982,29.621802406978702,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-08,'300729,乐歌股份,25.28,-0.8627,0.991373,1.0929483003343816,24.90194637854643,24.927556509513703,29.26078178642578,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-09,'300729,乐歌股份,25.76,1.8987,1.018987,1.1137001097128305,25.37475963443589,24.718723020913544,28.986445170027814,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-12,'300729,乐歌股份,26.17,1.5916,1.015916,1.13142576065902,25.77862430877757,24.801464370118005,28.74855499208893,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,'300729,乐歌股份,25.31,-3.2862,0.967138,1.0942448473122433,24.931487156742524,25.221092481369123,28.422503314746955,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-14,'300729,乐歌股份,24.73,-2.2916,0.977084,1.0691691323912358,24.36015719705861,25.069394935112193,28.01025940361372,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-22,'300729,乐歌股份,25.2,1.9005,1.019005,1.0894886917523312,24.82312198458871,25.05363005632065,27.663028597335916,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-23,'300729,乐歌股份,25.58,1.5079,1.015079,1.1059170917352648,25.19742984099432,25.018164097632337,27.282798483008882,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-26,'300729,乐歌股份,26.37,3.0884,1.030884,1.1400722351964165,25.975627264203588,25.05756468871754,27.04096844338674,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-27,'300729,乐歌股份,26.51,0.5309,1.005309,1.1461248786930742,26.113531869349245,25.293973631238885,26.81194341936314,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,'300729,乐歌股份,25.77,-2.7914,0.972086,1.1141319488292358,25.38459874074823,25.49886193997681,26.521353277536015,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,'300729,乐歌股份,26.5,2.8328,1.028328,1.1456930786756703,26.103693653876146,25.754976273834295,26.275090995548624,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-02,'300729,乐歌股份,25.9,-2.2642,0.977358,1.1197522959882957,25.512653822165078,25.818021070068447,26.029813852581498,29.946562460383536,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-05,'300729,乐歌股份,27.6,6.5637,1.065637,1.1932494774400795,27.18722788109053,26.06034119344584,25.856444901330214,30.01994635425761,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-06,'300729,乐歌股份,27.53,-0.2536,0.997464,1.1902233967652915,27.118281071184086,26.261291033812814,25.67962860958361,30.054256843306366,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-07,'300729,乐歌股份,27.7,0.6175,1.006175,1.1975730262403173,27.28573645679865,26.641518577022897,25.634315446677526,30.049657741990295,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-08,'300729,乐歌股份,28.79,3.935,1.03935,1.2446975248228738,28.359430186373675,27.092665883522404,25.707207180797763,30.016984783949862,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-09,'300729,乐歌股份,30.4,5.5922,1.055922,1.3143034998060186,29.94534624125607,27.9792043673406,25.88352813898873,29.96017790091783,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
